#,Name,Type_1,Type_2,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary,Total
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,False,318
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,False,405
3,Venusaur,Grass,Poison,80,82,83,100,100,80,1,False,525
4,Mega Venusaur,Grass,Poison,80,100,123,122,120,80,1,False,625
5,Charmander,Fire,None,39,52,43,60,50,65,1,False,309
6,Charmeleon,Fire,None,58,64,58,80,65,80,1,False,405
7,Charizard,Fire,Flying,78,84,78,109,85,100,1,False,534
8,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,1,False,634
9,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,1,False,634
10,Squirtle,Water,None,44,48,65,50,64,43,1,False,314
11,Wartortle,Water,None,59,63,80,65,80,58,1,False,405
12,Blastoise,Water,None,79,83,100,85,105,78,1,False,530
13,Mega Blastoise,Water,None,79,103,120,135,115,78,1,False,630
14,Caterpie,Bug,None,45,30,35,20,20,45,1,False,195
15,Metapod,Bug,None,50,20,55,25,25,30,1,False,205
16,Butterfree,Bug,Flying,60,45,50,90,80,70,1,False,395
17,Weedle,Bug,Poison,40,35,30,20,20,50,1,False,195
18,Kakuna,Bug,Poison,45,25,50,25,25,35,1,False,205
19,Beedrill,Bug,Poison,65,90,40,45,80,75,1,False,395
20,Mega Beedrill,Bug,Poison,65,150,40,15,80,145,1,False,495
21,Pidgey,Normal,Flying,40,45,40,35,35,56,1,False,251
22,Pidgeotto,Normal,Flying,63,60,55,50,50,71,1,False,349
23,Pidgeot,Normal,Flying,83,80,75,70,70,101,1,False,479
24,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,1,False,579
25,Rattata,Normal,None,30,56,35,25,35,72,1,False,253
26,Raticate,Normal,None,55,81,60,50,70,97,1,False,413
27,Spearow,Normal,Flying,40,60,30,31,31,70,1,False,262
28,Fearow,Normal,Flying,65,90,65,61,61,100,1,False,442
29,Ekans,Poison,None,35,60,44,40,54,55,1,False,288
30,Arbok,Poison,None,60,85,69,65,79,80,1,False,438
31,Pikachu,Electric,None,35,55,40,50,50,90,1,False,320
32,Raichu,Electric,None,60,90,55,90,80,110,1,False,485
33,Sandshrew,Ground,None,50,75,85,20,30,40,1,False,300
34,Sandslash,Ground,None,75,100,110,45,55,65,1,False,450
35,Nidoran♀,Poison,None,55,47,52,40,40,41,1,False,275
36,Nidorina,Poison,None,70,62,67,55,55,56,1,False,365
37,Nidoqueen,Poison,Ground,90,92,87,75,85,76,1,False,505
38,Nidoran♂,Poison,None,46,57,40,40,40,50,1,False,273
39,Nidorino,Poison,None,61,72,57,55,55,65,1,False,365
40,Nidoking,Poison,Ground,81,102,77,85,75,85,1,False,505
41,Clefairy,Fairy,None,70,45,48,60,65,35,1,False,323
42,Clefable,Fairy,None,95,70,73,95,90,60,1,False,483
43,Vulpix,Fire,None,38,41,40,50,65,65,1,False,299
44,Ninetales,Fire,None,73,76,75,81,100,100,1,False,505
45,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,False,270
46,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,1,False,435
47,Zubat,Poison,Flying,40,45,35,30,40,55,1,False,245
48,Golbat,Poison,Flying,75,80,70,65,75,90,1,False,455
49,Oddish,Grass,Poison,45,50,55,75,65,30,1,False,320
50,Gloom,Grass,Poison,60,65,70,85,75,40,1,False,395
51,Vileplume,Grass,Poison,75,80,85,110,90,50,1,False,490
52,Paras,Bug,Grass,35,70,55,45,55,25,1,False,285
53,Parasect,Bug,Grass,60,95,80,60,80,30,1,False,405
54,Venonat,Bug,Poison,60,55,50,40,55,45,1,False,305
55,Venomoth,Bug,Poison,70,65,60,90,75,90,1,False,450
56,Diglett,Ground,None,10,55,25,35,45,95,1,False,265
57,Dugtrio,Ground,None,35,80,50,50,70,120,1,False,405
58,Meowth,Normal,None,40,45,35,40,40,90,1,False,290
59,Persian,Normal,None,65,70,60,65,65,115,1,False,440
60,Psyduck,Water,None,50,52,48,65,50,55,1,False,320
61,Golduck,Water,None,80,82,78,95,80,85,1,False,500
62,Mankey,Fighting,None,40,80,35,35,45,70,1,False,305
63,,Fighting,None,65,105,60,60,70,95,1,False,455
64,Growlithe,Fire,None,55,70,45,70,50,60,1,False,350
65,Arcanine,Fire,None,90,110,80,100,80,95,1,False,555
66,Poliwag,Water,None,40,50,40,40,40,90,1,False,300
67,Poliwhirl,Water,None,65,65,65,50,50,90,1,False,385
68,Poliwrath,Water,Fighting,90,95,95,70,90,70,1,False,510
69,Abra,Psychic,None,25,20,15,105,55,90,1,False,310
70,Kadabra,Psychic,None,40,35,30,120,70,105,1,False,400
71,Alakazam,Psychic,None,55,50,45,135,95,120,1,False,500
72,Mega Alakazam,Psychic,None,55,50,65,175,95,150,1,False,590
73,Machop,Fighting,None,70,80,50,35,35,35,1,False,305
74,Machoke,Fighting,None,80,100,70,50,60,45,1,False,405
75,Machamp,Fighting,None,90,130,80,65,85,55,1,False,505
76,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,False,300
77,Weepinbell,Grass,Poison,65,90,50,85,45,55,1,False,390
78,Victreebel,Grass,Poison,80,105,65,100,70,70,1,False,490
79,Tentacool,Water,Poison,40,40,35,50,100,70,1,False,335
80,Tentacruel,Water,Poison,80,70,65,80,120,100,1,False,515
81,Geodude,Rock,Ground,40,80,100,30,30,20,1,False,300
82,Graveler,Rock,Ground,55,95,115,45,45,35,1,False,390
83,Golem,Rock,Ground,80,120,130,55,65,45,1,False,495
84,Ponyta,Fire,None,50,85,55,65,65,90,1,False,410
85,Rapidash,Fire,None,65,100,70,80,80,105,1,False,500
86,Slowpoke,Water,Psychic,90,65,65,40,40,15,1,False,315
87,Slowbro,Water,Psychic,95,75,110,100,80,30,1,False,490
88,Mega Slowbro,Water,Psychic,95,75,180,130,80,30,1,False,590
89,Magnemite,Electric,Steel,25,35,70,95,55,45,1,False,325
90,Magneton,Electric,Steel,50,60,95,120,70,70,1,False,465
91,Farfetch'd,Normal,Flying,52,65,55,58,62,60,1,False,352
92,Doduo,Normal,Flying,35,85,45,35,35,75,1,False,310
93,Dodrio,Normal,Flying,60,110,70,60,60,100,1,False,460
94,Seel,Water,None,65,45,55,45,70,45,1,False,325
